operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819383054|1759819383054|10|0|5103088
LdbcQuery11|1759819383080|1759819383081|8|0|5128992
LdbcQuery11|1759819383106|1759819383106|8|0|5154896
LdbcQuery11|1759819383132|1759819383133|7|0|5180800
LdbcQuery11|1759819383158|1759819383158|8|0|5206704
LdbcQuery11|1759819383184|1759819383185|7|0|5232608
LdbcQuery11|1759819383209|1759819383210|33|0|5258512
LdbcQuery11|1759819383235|1759819383236|10|0|5284416
LdbcQuery11|1759819383261|1759819383261|11|0|5310320
LdbcQuery11|1759819383287|1759819383287|11|0|5336224
LdbcQuery11|1759819383313|1759819383313|10|0|5362128
LdbcQuery11|1759819383339|1759819383340|8|0|5388032
LdbcQuery11|1759819383365|1759819383365|10|0|5413936
LdbcQuery11|1759819383391|1759819383391|8|0|5439840
LdbcQuery11|1759819383417|1759819383417|7|0|5465744
LdbcQuery11|1759819383443|1759819383444|9|0|5491648
LdbcQuery11|1759819383468|1759819383469|8|0|5517552
LdbcQuery11|1759819383520|1759819383520|9|0|5569360
LdbcQuery11|1759819383494|1759819383496|33|0|5543456
LdbcQuery11|1759819383546|1759819383546|9|0|5595264
LdbcQuery11|1759819383572|1759819383573|9|0|5621168
LdbcQuery11|1759819383598|1759819383598|10|0|5647072
LdbcQuery11|1759819383624|1759819383625|8|0|5672976
LdbcQuery11|1759819383650|1759819383650|9|0|5698880
LdbcQuery11|1759819383676|1759819383676|8|0|5724784
LdbcQuery11|1759819383702|1759819383703|9|0|5750688
LdbcQuery11|1759819383727|1759819383728|9|0|5776592
LdbcQuery11|1759819383753|1759819383753|7|0|5802496
LdbcQuery11|1759819383779|1759819383780|9|0|5828400
LdbcQuery11|1759819383805|1759819383805|9|0|5854304
LdbcQuery11|1759819383831|1759819383831|8|0|5880208
LdbcQuery11|1759819383857|1759819383858|8|0|5906112
LdbcQuery11|1759819383883|1759819383883|9|0|5932016
LdbcQuery11|1759819383909|1759819383909|14|0|5957920
LdbcQuery11|1759819383935|1759819383936|7|0|5983824
LdbcQuery11|1759819383961|1759819383961|8|0|6009728
LdbcQuery11|1759819383987|1759819383987|8|0|6035632
LdbcQuery11|1759819384038|1759819384038|8|0|6087440
LdbcQuery11|1759819384012|1759819384014|42|0|6061536
LdbcQuery11|1759819384064|1759819384064|10|0|6113344
LdbcQuery11|1759819384090|1759819384090|13|0|6139248
LdbcQuery11|1759819384116|1759819384117|7|0|6165152
LdbcQuery11|1759819384142|1759819384143|9|0|6191056
LdbcQuery11|1759819384194|1759819384194|8|0|6242864
LdbcQuery11|1759819384168|1759819384169|39|0|6216960
LdbcQuery11|1759819384220|1759819384220|9|0|6268768
LdbcQuery11|1759819384246|1759819384247|8|0|6294672
LdbcQuery11|1759819384271|1759819384271|8|0|6320576
LdbcQuery11|1759819384297|1759819384297|32|0|6346480
LdbcQuery11|1759819384323|1759819384324|9|0|6372384
LdbcQuery11|1759819384349|1759819384349|15|0|6398288
LdbcQuery11|1759819384375|1759819384375|8|0|6424192
LdbcQuery11|1759819384401|1759819384401|8|0|6450096
LdbcQuery11|1759819384427|1759819384427|8|0|6476000
