operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819580672|1759819580672|8|0|5647072
LdbcQuery11|1759819580698|1759819580698|5|0|5672976
LdbcQuery11|1759819580724|1759819580724|6|0|5698880
LdbcQuery11|1759819580750|1759819580750|4|0|5724784
LdbcQuery11|1759819580776|1759819580777|9|0|5750688
LdbcQuery11|1759819580801|1759819580801|4|0|5776592
LdbcQuery11|1759819580827|1759819580827|7|0|5802496
LdbcQuery11|1759819580853|1759819580854|4|0|5828400
LdbcQuery11|1759819580879|1759819580879|9|0|5854304
LdbcQuery11|1759819580905|1759819580906|5|0|5880208
LdbcQuery11|1759819580931|1759819580932|7|0|5906112
LdbcQuery11|1759819580957|1759819580957|9|0|5932016
LdbcQuery11|1759819580983|1759819580984|5|0|5957920
LdbcQuery11|1759819581009|1759819581010|6|0|5983824
LdbcQuery11|1759819581035|1759819581035|4|0|6009728
LdbcQuery11|1759819581061|1759819581061|6|0|6035632
LdbcQuery11|1759819581086|1759819581086|9|0|6061536
LdbcQuery11|1759819581112|1759819581113|5|0|6087440
LdbcQuery11|1759819581138|1759819581139|6|0|6113344
LdbcQuery11|1759819581164|1759819581164|5|0|6139248
LdbcQuery11|1759819581190|1759819581190|9|0|6165152
LdbcQuery11|1759819581216|1759819581217|7|0|6191056
LdbcQuery11|1759819581242|1759819581243|7|0|6216960
LdbcQuery11|1759819581268|1759819581269|8|0|6242864
LdbcQuery11|1759819581294|1759819581294|5|0|6268768
LdbcQuery11|1759819581320|1759819581320|8|0|6294672
LdbcQuery11|1759819581345|1759819581345|4|0|6320576
LdbcQuery11|1759819581371|1759819581372|4|0|6346480
LdbcQuery11|1759819581397|1759819581398|10|0|6372384
LdbcQuery11|1759819581423|1759819581424|4|0|6398288
LdbcQuery11|1759819581449|1759819581450|12|0|6424192
LdbcQuery11|1759819581475|1759819581476|5|0|6450096
LdbcQuery11|1759819581501|1759819581501|7|0|6476000
LdbcQuery11|1759819581527|1759819581527|5|0|6501904
LdbcQuery11|1759819581553|1759819581554|10|0|6527808
LdbcQuery11|1759819581579|1759819581579|7|0|6553712
LdbcQuery11|1759819581605|1759819581605|7|0|6579616
LdbcQuery11|1759819581630|1759819581631|5|0|6605520
LdbcQuery11|1759819581656|1759819581657|8|0|6631424
LdbcQuery11|1759819581682|1759819581682|8|0|6657328
LdbcQuery11|1759819581708|1759819581708|9|0|6683232
LdbcQuery11|1759819581734|1759819581734|5|0|6709136
LdbcQuery11|1759819581760|1759819581760|9|0|6735040
LdbcQuery11|1759819581786|1759819581787|5|0|6760944
LdbcQuery11|1759819581812|1759819581814|10|0|6786848
LdbcQuery11|1759819581838|1759819581839|4|0|6812752
LdbcQuery11|1759819581864|1759819581865|7|0|6838656
